RUN	SPR.SPRPerformanceTests	sprperformancetests	1591439657210	 	3.3.1
USER	scn	1	START	1591439657622	1591439657622
REQUEST	1		req reply testing	1591439657686	1591439658634	OK	 
USER	scn	1	END	1591439657622	1591439658652
USER	scn	2	START	1591439658627	1591439658627
REQUEST	2		req reply testing	1591439658627	1591439659036	OK	 
USER	scn	2	END	1591439658627	1591439659037
USER	scn	3	START	1591439659627	1591439659627
REQUEST	3		req reply testing	1591439659627	1591439660030	OK	 
USER	scn	3	END	1591439659627	1591439660031
USER	scn	4	START	1591439660627	1591439660627
REQUEST	4		req reply testing	1591439660654	1591439661150	OK	 
USER	scn	4	END	1591439660627	1591439661151
USER	scn	5	START	1591439661627	1591439661627
REQUEST	5		req reply testing	1591439661654	1591439662107	OK	 
USER	scn	5	END	1591439661627	1591439662108
USER	scn	6	START	1591439662627	1591439662627
REQUEST	6		req reply testing	1591439662627	1591439663025	OK	 
USER	scn	6	END	1591439662627	1591439663026
USER	scn	7	START	1591439663627	1591439663627
REQUEST	7		req reply testing	1591439663654	1591439664018	OK	 
USER	scn	7	END	1591439663627	1591439664019
USER	scn	8	START	1591439664627	1591439664627
REQUEST	8		req reply testing	1591439664654	1591439665019	OK	 
USER	scn	8	END	1591439664627	1591439665020
USER	scn	9	START	1591439665627	1591439665627
REQUEST	9		req reply testing	1591439665627	1591439665996	OK	 
USER	scn	9	END	1591439665627	1591439665997
USER	scn	10	START	1591439666627	1591439666627
REQUEST	10		req reply testing	1591439666628	1591439667069	OK	 
USER	scn	10	END	1591439666627	1591439667070
USER	scn	11	START	1591439667627	1591439667627
REQUEST	11		req reply testing	1591439667627	1591439668000	OK	 
USER	scn	11	END	1591439667627	1591439668001
USER	scn	12	START	1591439668626	1591439668626
REQUEST	12		req reply testing	1591439668627	1591439669035	OK	 
USER	scn	12	END	1591439668626	1591439669036
USER	scn	13	START	1591439669626	1591439669626
REQUEST	13		req reply testing	1591439669627	1591439670042	OK	 
USER	scn	13	END	1591439669626	1591439670043
USER	scn	14	START	1591439670626	1591439670626
REQUEST	14		req reply testing	1591439670653	1591439671074	OK	 
USER	scn	14	END	1591439670626	1591439671075
USER	scn	15	START	1591439671626	1591439671626
REQUEST	15		req reply testing	1591439671627	1591439671968	OK	 
USER	scn	15	END	1591439671626	1591439671969
USER	scn	16	START	1591439672627	1591439672627
REQUEST	16		req reply testing	1591439672627	1591439672986	OK	 
USER	scn	16	END	1591439672627	1591439672987
USER	scn	17	START	1591439673626	1591439673626
REQUEST	17		req reply testing	1591439673627	1591439673977	OK	 
USER	scn	17	END	1591439673626	1591439673978
USER	scn	18	START	1591439674626	1591439674626
REQUEST	18		req reply testing	1591439674627	1591439674961	OK	 
USER	scn	18	END	1591439674626	1591439674962
USER	scn	19	START	1591439675626	1591439675626
REQUEST	19		req reply testing	1591439675627	1591439675993	OK	 
USER	scn	19	END	1591439675626	1591439675994
USER	scn	20	START	1591439676626	1591439676626
REQUEST	20		req reply testing	1591439676627	1591439676966	OK	 
USER	scn	20	END	1591439676626	1591439676967
